Date              C           SP
20030224      -0.023193     -0.018381
20030225       0.014184      0.007195
20030226      -0.019155     -0.013141
20030227       0.018599      0.011758
20030228       0.014607      0.004622
20030303      -0.008698     -0.007537
20030304      -0.020575     -0.015357
20030305       0.024714      0.009562
20030306      -0.011456     -0.009339
20030307       0.011284      0.008259
20030310      -0.028951     -0.025830
20030311      -0.020186     -0.008359
20030312       0.003487      0.004321
20030313       0.054643      0.034457
20030314       0.010782      0.001647
20030317       0.013333      0.035427
20030318       0.015497      0.004242
20030319       0.021019      0.008737
20030320       0.010434      0.001888
20030321       0.038236      0.022977
20030324      -0.040323     -0.035231
20030325       0.005602      0.012161
20030326      -0.000279     -0.005476
20030327       0.000279     -0.001644
20030328      -0.013371     -0.005780
20030331      -0.027386     -0.017742
20030401       0.033382      0.012144
20030402       0.040450      0.026116
20030403      -0.014039     -0.005052
20030404       0.019441      0.002738
20030407      -0.000269      0.001229
20030408       0.010478     -0.001864
20030409      -0.015156     -0.014004
20030410      -0.002430      0.006455
20030411       0.010825     -0.003763
20030414       0.028916      0.019498
20030415       0.021337      0.006303
20030416      -0.025223     -0.012236
20030417       0.020387      0.015536
20030421      -0.008709     -0.001757
20030422       0.032041      0.021704
20030423       0.008763      0.008394
20030424      -0.028295     -0.008259
20030425      -0.017880     -0.013846
20030428       0.021066      0.017835
20030429      -0.004075      0.003279
20030430       0.003836     -0.001002
20030501      -0.001274     -0.000676
20030502       0.017949      0.015039
20030505      -0.004282     -0.003795
20030506       0.010625      0.008461
20030507       0.001752     -0.005105
20030508      -0.020240     -0.010058
20030509      -0.004081      0.014278
20030512       0.008707      0.012535
20030513      -0.003046     -0.002973
20030514      -0.009422     -0.003205
20030515       0.014139      0.007868
20030516      -0.007605     -0.002504
20030519      -0.023499     -0.024918
20030520       0.007586     -0.001129
20030521       0.008827      0.004012
20030522      -0.003603      0.009151
20030523       0.009556      0.001449
20030527       0.027884      0.019567
20030528       0.023892      0.001829
20030529      -0.008994     -0.003756
20030530       0.006132      0.014690
20030602       0.008532      0.003539
20030603       0.021271      0.004716
20030604       0.018225      0.015110
20030605       0.011158      0.003954
20030606       0.004368     -0.002404
20030609      -0.018997     -0.011977
20030610       0.007933      0.009130
20030611       0.020602      0.012835
20030612      -0.000454      0.001033
20030613       0.000681     -0.009915
20030616       0.025850      0.022385
20030617       0.007073      0.000910
20030618      -0.014267     -0.001552
20030619      -0.024939     -0.015236
20030620       0.005937      0.000995
20030623      -0.021566     -0.014111
20030624       0.007425      0.001834
20030625      -0.008521     -0.008267
20030626       0.015563      0.010776
20030627      -0.016240     -0.009738
20030630      -0.004883     -0.001762
20030701       0.023598      0.008025
20030702       0.013467      0.011646
20030703      -0.011712     -0.008111
20030707       0.024157      0.018992
20030708       0.009568      0.003405
20030709       0.013665     -0.005586
20030710      -0.017178     -0.013480
20030711       0.021018      0.009548
20030714       0.021018      0.005731
20030715      -0.006154     -0.003427
20030716      -0.027974     -0.006417
20030717      -0.015378     -0.012344
20030718       0.020527      0.011806
20030721      -0.017272     -0.014618
20030722       0.011123      0.009512
20030723       0.004180      0.000506
20030724      -0.016871     -0.007091
20030725       0.019166      0.017400
20030728       0.001531     -0.002163
20030729      -0.007860     -0.007265
20030730      -0.004621     -0.001809
20030731      -0.001769      0.002856
20030801      -0.030134     -0.010259
20030804       0.009666      0.002724
20030805      -0.018236     -0.017663
20030806       0.010448      0.001678
20030807       0.013327      0.007280
20030808       0.006803      0.003562
20030811       0.003378      0.003069
20030812       0.014366      0.009953
20030813      -0.004868     -0.006382
20030814       0.003558      0.006585
20030815      -0.005096      0.000162
20030818      -0.005568      0.009155
20030819      -0.005375      0.002611
20030820      -0.005629     -0.002045
20030821      -0.005661      0.002969
20030822      -0.018447     -0.010177
20030825      -0.004176      0.000655
20030826       0.009087      0.003039
20030827      -0.008081      0.000060
20030828       0.003026      0.006069
20030829       0.006034      0.005155
20030902       0.019147      0.013869
20030903       0.007243      0.004188
20030904      -0.002022      0.001656
20030905      -0.001576     -0.006401
20030908       0.004060      0.010035
20030909      -0.005391     -0.008210
20030910      -0.007453     -0.011973
20030911       0.005916      0.005441
20030912       0.002036      0.002174
20030915      -0.003160     -0.003750
20030916       0.012228      0.014298
20030917       0.005369     -0.003255
20030918       0.038051      0.013266
20030919       0.007288     -0.003155
20030922      -0.012981     -0.013008
20030923       0.017033      0.006071
20030924      -0.013568     -0.019096
20030925      -0.012035     -0.006053
20030926      -0.013270     -0.006399
20030929       0.015653      0.009761
20030930      -0.012155     -0.010541
20031001       0.032740      0.022340
20031002       0.005319      0.001984
20031003      -0.002963      0.009419
20031006       0.004245      0.004370
20031007       0.010991      0.004737
20031008      -0.005645     -0.005263
20031009       0.006728      0.004788
20031010       0.000418     -0.000645
20031013       0.021503      0.007023
20031014       0.001431      0.003951
20031015      -0.002449     -0.002592
20031016       0.002455      0.003162
20031017      -0.012653     -0.010237
20031020      -0.004961      0.005157
20031021      -0.011840      0.001292
20031022      -0.007778     -0.014980
20031023       0.012288      0.003310
20031024      -0.003767     -0.004701
20031027      -0.018908      0.002158
20031028       0.018844      0.015187
20031029       0.000210      0.001261
20031030       0.005884     -0.001116
20031031      -0.002525      0.003601
20031103       0.013502      0.007909
20031104       0.005828     -0.005448
20031105       0.003725     -0.001367
20031106       0.008041      0.005933
20031107      -0.023318     -0.004574
20031110       0.004188     -0.005792
20031111      -0.011679     -0.000516
20031112       0.000000      0.011456
20031113      -0.006119     -0.000142
20031114      -0.014225     -0.007615
20031117      -0.002800     -0.006398
20031118      -0.015983     -0.009084
20031119       0.008341      0.008016
20031120      -0.003700     -0.008432
20031121       0.012454      0.001577
20031124       0.008632      0.016227
20031125       0.003637      0.001720
20031126       0.000853      0.004327
20031128       0.001704     -0.000236
20031201       0.011269      0.011264
20031202      -0.007149     -0.003271
20031203      -0.005718     -0.001772
20031204       0.005112      0.004687
20031205      -0.012926     -0.007684
20031208       0.016960      0.007348
20031209      -0.005911     -0.008529
20031210       0.005734     -0.001066
20031211       0.004434      0.011482
20031212      -0.000420      0.002735
20031215       0.004837     -0.005679
20031216       0.003349      0.006638
20031217      -0.009387      0.001256
20031218       0.008423      0.011798
20031219       0.007935     -0.000468
20031222       0.004765      0.003922
20031223      -0.008866      0.002818
20031224      -0.004577     -0.001807
20031226       0.000209      0.001691
20031229       0.010656      0.012401
20031230       0.001240      0.000144
20031231       0.002271      0.002055
20040102       0.009477     -0.003094
20040105       0.016122      0.012395
20040106       0.001004      0.001292
20040107       0.001404      0.002367
20040108       0.004208      0.004963
20040109      -0.004589     -0.008888
20040112      -0.000802      0.004787
20040113      -0.005015     -0.005332
20040114       0.008065      0.008295
20040115      -0.010000      0.001353
20040116       0.000000      0.006872
20040120      -0.004242     -0.000930
20040121       0.021708      0.007772
20040122       0.006553     -0.003207
20040123      -0.007299     -0.002089
20040126       0.012122      0.012106
20040127      -0.016886     -0.009798
20040128      -0.016777     -0.013610
20040129       0.013203      0.004989
20040130       0.000000     -0.002628
20040202      -0.005053      0.003651
